country;currency;continent;neighbours;timestamp
Afghanistan;Afghani;Asia;Turkmenistan, China, Iran, Tajikistan, Pakistan, Uzbekistan;2024-08-29 00:52:20
Aland Islands;Euro;Europe;;2024-08-29 00:52:20
Albania;Lek;Europe;Macedonia, Greece, Serbia and Montenegro, Montenegro, Serbia, Kosovo;2024-08-29 00:52:22
Algeria;Dinar;Africa;Niger, Western Sahara, Libya, Mauritania, Tunisia, Morocco, Mali;2024-08-29 00:52:23
American Samoa;Dollar;Oceania;;2024-08-29 00:52:24
Andorra;Euro;Europe;Spain, France;2024-08-29 00:52:24
Angola;Kwanza;Africa;Democratic Republic of the Congo, Namibia, Zambia, Republic of the Congo;2024-08-29 00:52:26
Anguilla;Dollar;North America;;2024-08-29 00:52:26
Antarctica;;Antractica;;2024-08-29 00:52:27
Antigua and Barbuda;Dollar;North America;;2024-08-29 00:52:27
Argentina;Peso;South America;Chile, Bolivia, Uruguay, Paraguay, Brazil;2024-08-29 00:52:29
Armenia;Dram;Asia;Georgia, Iran, Azerbaijan, Turkey;2024-08-29 00:52:30
Aruba;Guilder;North America;;2024-08-29 00:52:30
Australia;Dollar;Oceania;;2024-08-29 00:52:31
Austria;Euro;Europe;Switzerland, Germany, Hungary, Slovakia, Czech Republic, Italy, Slovenia, Liechtenstein;2024-08-29 00:52:32
Azerbaijan;Manat;Asia;Georgia, Iran, Armenia, Turkey, Russia;2024-08-29 00:52:34
Bahamas;Dollar;North America;;2024-08-29 00:52:34
Bahrain;Dinar;Asia;;2024-08-29 00:52:34
Bangladesh;Taka;Asia;Myanmar, India;2024-08-29 00:52:35
Barbados;Dollar;North America;;2024-08-29 00:52:35
Belarus;Ruble;Europe;Poland, Lithuania, Ukraine, Russia, Latvia;2024-08-29 00:52:37
Belgium;Euro;Europe;Germany, Netherlands, Luxembourg, France;2024-08-29 00:52:38
Belize;Dollar;North America;Guatemala, Mexico;2024-08-29 00:52:38
Benin;Franc;Africa;Niger, Togo, Burkina Faso, Nigeria;2024-08-29 00:52:39
Bermuda;Dollar;North America;;2024-08-29 00:52:40
Bhutan;Ngultrum;Asia;China, India;2024-08-29 00:52:40
Bolivia;Boliviano;South America;Peru, Chile, Paraguay, Brazil, Argentina;2024-08-29 00:52:41
Bonaire, Saint Eustatius and Saba;Dollar;North America;;2024-08-29 00:52:42
Bosnia and Herzegovina;Marka;Europe;Serbia and Montenegro, Croatia, Montenegro, Serbia;2024-08-29 00:52:43
Botswana;Pula;Africa;Zimbabwe, South Africa, Namibia;2024-08-29 00:52:43
Bouvet Island;Krone;Antractica;;2024-08-29 00:52:44
Brazil;Real;South America;Suriname, Peru, Bolivia, Uruguay, Guyana, Paraguay, French Guiana, Venezuela, Colombia, Argentina;2024-08-29 00:52:46
British Indian Ocean Territory;Dollar;Asia;;2024-08-29 00:52:46
British Virgin Islands;Dollar;North America;;2024-08-29 00:52:47
Brunei;Dollar;Asia;Malaysia;2024-08-29 00:52:47
Bulgaria;Lev;Europe;Macedonia, Greece, Romania, Serbia and Montenegro, Turkey, Serbia;2024-08-29 00:52:48
Burkina Faso;Franc;Africa;Niger, Benin, Ghana, Ivory Coast, Togo, Mali;2024-08-29 00:52:50
Burundi;Franc;Africa;Tanzania, Democratic Republic of the Congo, Rwanda;2024-08-29 00:52:50
Cambodia;Riels;Asia;Laos, Thailand, Vietnam;2024-08-29 00:52:51
Cameroon;Franc;Africa;Chad, Central African Republic, Gabon, Equatorial Guinea, Republic of the Congo, Nigeria;2024-08-29 00:52:53
Canada;Dollar;North America;United States;2024-08-29 00:52:53
Cape Verde;Escudo;Africa;;2024-08-29 00:52:54
Cayman Islands;Dollar;North America;;2024-08-29 00:52:54
Central African Republic;Franc;Africa;Chad, Sudan, Democratic Republic of the Congo, South Sudan, Cameroon, Republic of the Congo;2024-08-29 00:52:55
Chad;Franc;Africa;Niger, Libya, Central African Republic, Sudan, Cameroon, Nigeria;2024-08-29 00:52:56
Chile;Peso;South America;Peru, Bolivia, Argentina;2024-08-29 00:52:57
China;Yuan Renminbi;Asia;Laos, Bhutan, Tajikistan, Kazakhstan, Mongolia, Afghanistan, Nepal, Myanmar, Kyrgyzstan, Pakistan, North Korea, Russia, Vietnam, India;2024-08-29 00:53:00
Christmas Island;Dollar;Asia;;2024-08-29 00:53:00
Cocos Islands;Dollar;Asia;;2024-08-29 00:53:01
Colombia;Peso;South America;Ecuador, Peru, Panama, Brazil, Venezuela;2024-08-29 00:53:02
Comoros;Franc;Africa;;2024-08-29 00:53:02
Cook Islands;Dollar;Oceania;;2024-08-29 00:53:03
Costa Rica;Colon;North America;Panama, Nicaragua;2024-08-29 00:53:03
Croatia;Kuna;Europe;Hungary, Slovenia, Serbia and Montenegro, Bosnia and Herzegovina, Montenegro, Serbia;2024-08-29 00:53:05
Cuba;Peso;North America;United States;2024-08-29 00:53:05
Curacao;Guilder;North America;;2024-08-29 00:53:06
Cyprus;Euro;Europe;;2024-08-29 00:53:06
Czech Republic;Koruna;Europe;Poland, Germany, Slovakia, Austria;2024-08-29 00:53:07
Democratic Republic of the Congo;Franc;Africa;Tanzania, Central African Republic, South Sudan, Rwanda, Zambia, Burundi, Uganda, Republic of the Congo, Angola;2024-08-29 00:53:09
Denmark;Krone;Europe;Germany;2024-08-29 00:53:09
Djibouti;Franc;Africa;Eritrea, Ethiopia, Somalia;2024-08-29 00:53:10
Dominica;Dollar;North America;;2024-08-29 00:53:11
Dominican Republic;Peso;North America;Haiti;2024-08-29 00:53:11
East Timor;Dollar;Oceania;Indonesia;2024-08-29 00:53:11
Ecuador;Dollar;South America;Peru, Colombia;2024-08-29 00:53:12
Egypt;Pound;Africa;Libya, Sudan, Israel;2024-08-29 00:53:13
El Salvador;Dollar;North America;Guatemala, Honduras;2024-08-29 00:53:13
Equatorial Guinea;Franc;Africa;Gabon, Cameroon;2024-08-29 00:53:14
Eritrea;Nakfa;Africa;Ethiopia, Sudan, Djibouti;2024-08-29 00:53:15
Estonia;Euro;Europe;Russia, Latvia;2024-08-29 00:53:15
Ethiopia;Birr;Africa;Eritrea, Kenya, Sudan, South Sudan, Somalia, Djibouti;2024-08-29 00:53:17
Falkland Islands;Pound;South America;;2024-08-29 00:53:17
Faroe Islands;Krone;Europe;;2024-08-29 00:53:18
Fiji;Dollar;Oceania;;2024-08-29 00:53:18
Finland;Euro;Europe;Norway, Russia, Sweden;2024-08-29 00:53:19
France;Euro;Europe;Switzerland, Germany, Belgium, Luxembourg, Italy, Andorra, Monaco, Spain;2024-08-29 00:53:21
French Guiana;Euro;South America;Suriname, Brazil;2024-08-29 00:53:21
French Polynesia;Franc;Oceania;;2024-08-29 00:53:22
French Southern Territories;Euro;Antractica;;2024-08-29 00:53:22
Gabon;Franc;Africa;Cameroon, Equatorial Guinea, Republic of the Congo;2024-08-29 00:53:23
Gambia;Dalasi;Africa;Senegal;2024-08-29 00:53:23
Georgia;Lari;Asia;Armenia, Azerbaijan, Turkey, Russia;2024-08-29 00:53:24
Germany;Euro;Europe;Switzerland, Poland, Netherlands, Denmark, Belgium, Czech Republic, Luxembourg, France, Austria;2024-08-29 00:53:26
Ghana;Cedi;Africa;Ivory Coast, Togo, Burkina Faso;2024-08-29 00:53:27
Gibraltar;Pound;Europe;Spain;2024-08-29 00:53:27
Greece;Euro;Europe;Albania, Macedonia, Turkey, Bulgaria;2024-08-29 00:53:28
Greenland;Krone;North America;;2024-08-29 00:53:29
Grenada;Dollar;North America;;2024-08-29 00:53:29
Guadeloupe;Euro;North America;Netherlands Antilles;2024-08-29 00:53:29
Guam;Dollar;Oceania;;2024-08-29 00:53:30
Guatemala;Quetzal;North America;Mexico, Honduras, Belize, El Salvador;2024-08-29 00:53:31
Guernsey;Pound;Europe;;2024-08-29 00:53:31
Guinea;Franc;Africa;Liberia, Senegal, Sierra Leone, Ivory Coast, Guinea-Bissau, Mali;2024-08-29 00:53:33
Guinea-Bissau;Franc;Africa;Senegal, Guinea;2024-08-29 00:53:33
Guyana;Dollar;South America;Suriname, Brazil, Venezuela;2024-08-29 00:53:34
Haiti;Gourde;North America;Dominican Republic;2024-08-29 00:53:34
Heard Island and McDonald Islands;Dollar;Antractica;;2024-08-29 00:53:35
Honduras;Lempira;North America;Guatemala, Nicaragua, El Salvador;2024-08-29 00:53:36
Hong Kong;Dollar;Asia;;2024-08-29 00:53:36
